ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,tags,notes
2023-07-26T22:59:59-04:00,"Tuesday, Jul 25, 2023","Wednesday, Jul 26, 2023",2023-07-25 23:00:00,2023-07-26 06:59:00,07:59:00,00:33:00,00:00:00,1,07:26:00,07:12:34,93.1,93.8,05:49:32,04:45:22,02:33:48,01:39:42,43.2,45.1,62.8,60.0,43.0,51.0,70,96,41,50,,,,,,,,
2023-07-27T22:59:59-04:00,"Wednesday, Jul 26, 2023","Thursday, Jul 27, 2023",2023-07-26 23:29:00,2023-07-27 07:13:00,07:44:00,00:24:00,00:00:00,1,07:20:00,07:14:25,94.8,93.5,05:50:09,04:54:18,02:52:51,01:51:19,45.2,45.4,55.0,59.1,42.0,51.1,11,85,9,41,,,,,,,,
2023-07-28T22:59:59-04:00,"Thursday, Jul 27, 2023","Friday, Jul 28, 2023",2023-07-27 23:01:00,2023-07-28 07:48:00,08:47:00,00:44:00,00:00:00,1,08:03:00,07:32:17,91.7,93.2,05:31:23,05:05:39,02:00:45,01:59:41,42.2,44.9,,,43.0,51.4,75,86,34,40,,,,,,,,
2023-07-30T22:59:59-04:00,"Saturday, Jul 29, 2023","Sunday, Jul 30, 2023",2023-07-30 01:59:00,2023-07-30 10:19:00,08:20:00,00:42:00,00:00:00,1,07:38:00,07:30:17,91.6,94.0,05:14:15,05:09:41,01:13:52,02:01:14,45.5,44.8,61.7,60.6,42.0,50.4,78,88,48,41,,,,,,,,
2023-07-31T22:59:59-04:00,"Sunday, Jul 30, 2023","Monday, Jul 31, 2023",2023-07-30 23:45:00,2023-07-31 07:08:00,07:23:00,00:29:00,00:00:00,1,06:54:00,07:20:51,93.5,93.5,04:27:18,05:04:35,00:46:00,01:49:32,43.2,44.4,58.9,60.1,43.0,50.1,20,68,14,39,,,,,,,,
2023-08-01T22:59:59-04:00,"Monday, Jul 31, 2023","Tuesday, Aug 1, 2023",2023-07-31 23:00:00,2023-08-01 07:04:00,08:48:00,00:23:00,00:00:00,2,08:25:00,07:32:25,95.2,93.8,06:21:36,05:21:10,03:26:24,02:05:33,45.5,44.4,60.1,60.5,44.0,43.0,16,60,13,34,,,,,,,,
2023-08-02T22:59:59-04:00,"Tuesday, Aug 1, 2023","Wednesday, Aug 2, 2023",2023-08-01 23:18:00,2023-08-02 07:13:00,07:55:00,01:27:00,00:00:00,1,06:28:00,07:27:42,81.7,91.7,04:23:36,05:22:33,02:04:10,02:08:15,45.2,44.3,59.4,60.4,44.0,43.0,16,41,15,25,,,,,,,,
2023-08-03T22:59:59-04:00,"Wednesday, Aug 2, 2023","Thursday, Aug 3, 2023",2023-08-02 23:15:00,2023-08-03 06:59:00,07:44:00,00:38:00,00:00:00,1,07:06:00,07:24:51,91.8,91.5,04:40:24,05:12:40,02:26:54,02:07:16,44.4,44.5,58.0,59.7,43.0,43.0,41,37,24,23,,,,,,,,
2023-08-04T22:59:59-04:00,"Thursday, Aug 3, 2023","Friday, Aug 4, 2023",2023-08-03 23:01:00,2023-08-04 08:05:00,09:38:00,00:50:00,00:00:00,2,08:48:00,07:37:25,90.8,90.9,06:16:33,05:16:27,03:14:36,02:10:23,45.4,44.5,54.1,59.6,46.0,43.6,57,43,37,27,,,,,,,,
2023-08-05T22:59:59-04:00,"Friday, Aug 4, 2023","Saturday, Aug 5, 2023",2023-08-04 23:03:00,2023-08-05 09:15:00,10:12:00,01:21:00,00:00:00,1,08:51:00,07:44:17,86.8,90.2,05:47:19,05:18:43,01:43:15,02:07:53,44.9,44.9,61.9,59.2,42.0,43.4,75,43,58,30,,,,,,,,
2023-08-06T22:59:59-04:00,"Saturday, Aug 5, 2023","Sunday, Aug 6, 2023",2023-08-06 00:08:00,2023-08-06 09:47:00,09:39:00,02:00:00,00:00:00,1,07:39:00,07:44:25,79.3,88.4,05:16:13,05:19:00,02:48:18,02:21:22,41.7,44.3,59.7,58.9,40.0,43.1,119,49,85,35,,,,,,,,
2023-08-07T22:59:59-04:00,"Sunday, Aug 6, 2023","Monday, Aug 7, 2023",2023-08-06 23:44:00,2023-08-07 06:59:00,07:36:00,00:26:00,00:00:00,2,07:10:00,07:46:42,94.0,88.5,04:29:57,05:19:23,01:15:44,02:25:37,43.0,44.3,53.7,58.1,39.0,42.6,58,55,55,41,,,,,,,,
2023-08-08T22:59:59-04:00,"Monday, Aug 7, 2023","Tuesday, Aug 8, 2023",2023-08-07 23:32:00,2023-08-08 06:30:00,06:58:00,00:00:00,00:00:00,1,06:58:00,07:34:17,100.0,89.2,04:02:03,04:59:27,01:17:24,02:07:11,41.6,43.8,60.1,58.1,40.0,42.0,46,59,32,44,,,,,,,,
2023-08-09T22:59:59-04:00,"Tuesday, Aug 8, 2023","Wednesday, Aug 9, 2023",2023-08-08 23:26:00,2023-08-09 07:16:00,07:50:00,01:04:00,00:00:00,1,06:46:00,07:36:51,86.4,89.9,04:34:39,05:01:01,02:15:20,02:08:47,41.8,43.3,61.2,58.4,41.0,41.6,13,59,13,43,,,,,,,,
2023-08-10T22:59:59-04:00,"Wednesday, Aug 9, 2023","Thursday, Aug 10, 2023",2023-08-09 23:45:00,2023-08-10 07:04:00,07:19:00,00:33:00,00:00:00,1,06:46:00,07:34:00,92.5,90.0,04:54:00,05:02:58,02:04:55,02:05:38,43.2,43.1,58.0,58.4,42.0,41.4,37,58,27,44,,,,,,,,
2023-08-11T22:59:59-04:00,"Thursday, Aug 10, 2023","Friday, Aug 11, 2023",2023-08-10 23:43:00,2023-08-11 07:11:00,08:14:00,00:11:00,00:00:00,2,08:03:00,07:27:34,97.5,90.9,05:53:39,04:59:41,02:00:33,01:55:04,43.8,42.9,57.1,58.8,42.0,40.9,175,75,77,50,,,,,,,,
2023-08-12T22:59:59-04:00,"Friday, Aug 11, 2023","Saturday, Aug 12, 2023",2023-08-12 01:45:00,2023-08-12 09:43:00,08:18:00,00:35:00,00:00:00,2,07:43:00,07:17:51,92.7,91.8,05:11:19,04:54:33,02:02:12,01:57:46,47.8,43.3,59.9,58.5,46.0,41.4,93,78,55,49,,,,,,,,
2023-08-13T22:59:59-04:00,"Saturday, Aug 12, 2023","Sunday, Aug 13, 2023",2023-08-13 01:00:00,2023-08-13 10:05:00,09:05:00,00:27:00,00:00:00,1,08:38:00,07:26:17,95.0,94.0,05:51:36,04:59:36,01:46:39,01:48:58,47.4,44.1,62.7,59.0,48.0,42.6,104,75,52,44,,,,,,,,
2023-08-14T22:59:59-04:00,"Sunday, Aug 13, 2023","Monday, Aug 14, 2023",2023-08-13 23:35:00,2023-08-14 06:42:00,07:40:00,00:10:00,00:00:00,2,07:30:00,07:29:08,97.7,94.5,05:04:27,05:04:32,01:36:42,01:51:57,47.8,44.8,57.8,59.5,44.0,43.3,63,76,51,44,,,,,,,,
2023-08-15T22:59:59-04:00,"Monday, Aug 14, 2023","Tuesday, Aug 15, 2023",2023-08-14 23:15:00,2023-08-15 07:04:00,07:49:00,00:40:00,00:00:00,1,07:09:00,07:30:42,91.5,93.3,05:11:11,05:14:24,02:17:54,02:00:36,45.1,45.3,55.5,58.9,44.0,43.9,37,75,21,42,,,,,,,,
2023-08-16T22:59:59-04:00,"Tuesday, Aug 15, 2023","Wednesday, Aug 16, 2023",2023-08-15 23:30:00,2023-08-16 06:34:00,07:04:00,00:38:00,00:00:00,1,06:26:00,07:27:51,91.0,94.0,04:37:29,05:14:49,02:13:37,02:00:21,45.0,45.7,63.4,59.2,43.0,44.1,18,75,14,42,,,,,,,,
2023-08-17T22:59:59-04:00,"Wednesday, Aug 16, 2023","Thursday, Aug 17, 2023",2023-08-16 23:38:00,2023-08-17 06:59:00,07:21:00,00:36:00,00:00:00,1,06:45:00,07:27:42,91.8,93.9,04:49:20,05:14:09,01:55:43,01:59:02,44.4,45.9,58.0,59.2,41.0,44.0,48,77,24,42,,,,,,,,
2023-08-18T22:59:59-04:00,"Thursday, Aug 17, 2023","Friday, Aug 18, 2023",2023-08-17 23:00:00,2023-08-18 06:59:00,07:59:00,00:48:00,00:00:00,1,07:11:00,07:20:17,90.0,92.8,04:40:33,05:03:42,00:59:27,01:50:19,44.9,46.0,57.4,59.2,44.0,44.3,43,58,27,35,,,,,,,,
2023-08-19T22:59:59-04:00,"Friday, Aug 18, 2023","Saturday, Aug 19, 2023",2023-08-19 01:00:00,2023-08-19 09:29:00,08:29:00,01:59:00,00:00:00,1,06:30:00,07:09:51,76.6,90.5,04:38:06,04:58:57,02:15:00,01:52:08,47.1,45.9,81.4,62.3,46.0,44.3,59,53,52,34,,,,,,,,
2023-08-20T22:59:59-04:00,"Saturday, Aug 19, 2023","Sunday, Aug 20, 2023",2023-08-20 01:12:00,2023-08-20 09:55:00,10:32:00,01:39:00,00:00:00,2,08:53:00,07:12:00,81.1,88.5,07:00:40,05:08:49,03:17:17,02:05:05,44.6,45.5,57.5,61.6,43.0,43.6,107,54,87,39,,,,,,,,
2023-08-21T22:59:59-04:00,"Sunday, Aug 20, 2023","Monday, Aug 21, 2023",2023-08-20 23:15:00,2023-08-21 06:45:00,07:30:00,00:00:00,00:00:00,1,07:30:00,07:12:00,100.0,88.9,04:20:35,05:02:33,01:00:00,01:59:51,43.7,45.0,63.8,62.4,43.0,43.4,55,53,50,39,,,,,,,,
2023-08-22T22:59:59-04:00,"Monday, Aug 21, 2023","Tuesday, Aug 22, 2023",2023-08-21 23:15:00,2023-08-22 07:22:00,08:07:00,00:35:00,00:00:00,1,07:32:00,07:15:17,92.8,89.1,04:44:35,04:58:45,01:15:20,01:50:54,44.9,44.9,57.6,62.7,45.0,43.6,31,52,22,39,,,,,,,,
2023-08-23T22:59:59-04:00,"Tuesday, Aug 22, 2023","Wednesday, Aug 23, 2023",2023-08-22 23:12:00,2023-08-23 06:50:00,07:38:00,00:59:00,00:00:00,1,06:39:00,07:17:08,87.1,88.5,04:21:15,04:56:26,01:43:27,01:46:36,45.9,45.1,58.9,62.1,45.0,43.9,14,51,7,38,,,,,,,,
2023-08-24T22:59:59-04:00,"Wednesday, Aug 23, 2023","Thursday, Aug 24, 2023",2023-08-23 23:27:00,2023-08-24 06:50:00,07:23:00,00:45:00,00:00:00,1,06:38:00,07:16:08,89.8,88.2,05:14:47,05:00:04,02:17:46,01:49:45,44.4,45.1,56.3,61.8,44.0,44.3,32,49,23,38,,,,,,,,
2023-08-25T22:59:59-04:00,"Thursday, Aug 24, 2023","Friday, Aug 25, 2023",2023-08-24 23:39:00,2023-08-25 07:12:00,07:33:00,00:12:00,00:00:00,1,07:21:00,07:17:34,97.4,89.3,05:00:51,05:02:58,02:01:39,01:58:38,45.0,45.1,61.4,62.4,43.0,44.1,38,48,23,38,,,,,,,,
2023-08-26T22:59:59-04:00,"Friday, Aug 25, 2023","Saturday, Aug 26, 2023",2023-08-26 01:55:00,2023-08-26 09:56:00,08:01:00,01:05:00,00:00:00,1,06:56:00,07:21:17,86.5,90.7,05:23:31,05:09:28,02:49:29,02:03:34,44.7,44.7,60.5,59.4,44.0,43.9,165,63,116,47,,,,,,,,
2023-08-27T22:59:59-04:00,"Saturday, Aug 26, 2023","Sunday, Aug 27, 2023",2023-08-27 00:15:00,2023-08-27 08:32:00,10:21:00,00:15:00,00:00:00,2,10:06:00,07:31:42,97.0,92.9,07:03:21,05:09:51,02:23:28,01:55:52,42.5,44.4,58.2,59.5,39.0,43.3,85,60,64,43,,,,,,,,
2023-08-28T22:59:59-04:00,"Sunday, Aug 27, 2023","Monday, Aug 28, 2023",2023-08-27 23:38:00,2023-08-28 06:44:00,07:06:00,00:23:00,00:00:00,1,06:43:00,07:25:00,94.6,92.2,04:12:28,05:08:41,01:04:29,01:56:31,44.6,44.6,59.0,58.8,41.0,43.0,121,69,59,45,,,,,,,,
2023-08-29T22:59:59-04:00,"Monday, Aug 28, 2023","Tuesday, Aug 29, 2023",2023-08-28 23:50:00,2023-08-29 06:48:00,06:58:00,00:24:00,00:00:00,1,06:34:00,07:16:42,94.3,92.4,04:14:55,05:04:27,01:34:34,01:59:16,42.6,44.2,58.2,58.9,39.0,42.1,56,73,40,47,,,,,,,,
2023-08-30T22:59:59-04:00,"Tuesday, Aug 29, 2023","Wednesday, Aug 30, 2023",2023-08-29 23:45:00,2023-08-30 06:59:00,07:23:00,01:15:00,00:00:00,2,06:08:00,07:12:17,82.7,91.7,04:05:31,05:02:12,01:29:45,01:57:18,44.1,44.0,61.2,59.2,41.0,41.6,56,79,42,52,,,,,,,,
2023-08-31T22:59:59-04:00,"Wednesday, Aug 30, 2023","Thursday, Aug 31, 2023",2023-08-30 23:12:00,2023-08-31 06:39:00,07:27:00,00:23:00,00:00:00,1,07:04:00,07:16:00,94.9,92.5,05:24:05,05:03:32,02:01:09,01:54:56,43.0,43.8,58.3,59.5,40.0,41.0,89,87,51,56,,,,,,,,
2023-09-01T22:59:59-04:00,"Thursday, Aug 31, 2023","Friday, Sep 1, 2023",2023-08-31 23:24:00,2023-09-01 06:48:00,07:24:00,00:58:00,00:00:00,1,06:26:00,07:08:08,86.9,91.0,04:20:18,04:57:44,00:59:23,01:46:02,41.8,43.3,,,38.0,40.3,57,90,37,58,,,,,,,,
2023-09-03T22:59:59-04:00,"Saturday, Sep 2, 2023","Sunday, Sep 3, 2023",2023-09-02 23:50:00,2023-09-03 08:30:00,08:40:00,01:11:00,00:00:00,1,07:29:00,07:12:51,86.3,91.0,04:27:18,04:49:42,00:44:54,01:28:14,41.2,42.8,60.0,59.2,42.0,40.0,76,77,66,51,,,,,,,,
2023-09-04T22:59:59-04:00,"Sunday, Sep 3, 2023","Monday, Sep 4, 2023",2023-09-04 02:15:00,2023-09-04 09:52:00,07:37:00,01:16:00,00:00:00,1,06:21:00,06:40:42,83.4,89.0,04:49:55,04:30:39,01:03:30,01:16:49,44.0,43.1,56.6,59.0,44.0,40.7,104,80,68,52,,,,,,,,
2023-09-05T22:59:59-04:00,"Monday, Sep 4, 2023","Tuesday, Sep 5, 2023",2023-09-04 23:30:00,2023-09-05 06:59:00,07:29:00,00:42:00,00:00:00,1,06:47:00,06:41:17,90.6,88.4,04:44:12,04:35:11,01:45:31,01:22:40,43.5,42.9,60.7,59.2,42.0,40.9,63,72,38,49,,,,,,,,
2023-09-06T22:59:59-04:00,"Tuesday, Sep 5, 2023","Wednesday, Sep 6, 2023",2023-09-05 23:30:00,2023-09-06 07:16:00,07:46:00,00:35:00,00:00:00,1,07:11:00,06:46:34,92.5,88.2,05:15:33,04:43:50,01:58:54,01:26:09,43.9,43.1,59.8,59.5,43.0,41.4,82,76,36,48,,,,,,,,
2023-09-07T22:59:59-04:00,"Wednesday, Sep 6, 2023","Thursday, Sep 7, 2023",2023-09-06 23:46:00,2023-09-07 07:14:00,07:28:00,00:24:00,00:00:00,1,07:04:00,06:54:34,94.6,89.9,05:14:21,04:53:40,01:37:51,01:27:18,45.3,43.2,58.8,59.1,44.9,42.0,157,90,66,52,,,,,,,,
2023-09-08T22:59:59-04:00,"Thursday, Sep 7, 2023","Friday, Sep 8, 2023",2023-09-07 23:40:00,2023-09-08 07:17:00,07:37:00,00:51:00,00:00:00,1,06:46:00,06:52:00,88.8,89.0,04:45:59,04:48:13,02:04:55,01:27:51,45.6,43.6,63.3,59.9,43.0,42.4,108,93,70,54,,,,,,,,
2023-09-09T22:59:59-04:00,"Friday, Sep 8, 2023","Saturday, Sep 9, 2023",2023-09-09 00:30:00,2023-09-09 09:07:00,08:37:00,00:38:00,00:00:00,1,07:59:00,07:05:17,92.6,89.9,05:48:00,05:00:45,01:17:15,01:30:24,45.1,44.1,54.9,59.2,44.0,43.3,304,128,151,71,,,,,,,,
2023-09-10T22:59:59-04:00,"Saturday, Sep 9, 2023","Sunday, Sep 10, 2023",2023-09-10 01:30:00,2023-09-10 10:52:00,09:22:00,00:41:00,00:00:00,1,08:41:00,07:15:34,92.7,90.8,05:53:31,05:13:04,01:31:56,01:37:07,48.2,45.1,62.2,59.5,46.0,43.8,56,125,29,65,,,,,,,,
2023-09-11T22:59:59-04:00,"Sunday, Sep 10, 2023","Monday, Sep 11, 2023",2023-09-11 00:00:00,2023-09-11 06:33:00,06:33:00,00:17:00,00:00:00,1,06:16:00,07:14:51,95.7,92.5,04:32:47,05:10:37,01:18:20,01:39:14,46.3,45.4,61.2,60.1,42.0,43.6,17,113,13,57,,,,,,,,
2023-09-12T22:59:59-04:00,"Monday, Sep 11, 2023","Tuesday, Sep 12, 2023",2023-09-11 23:00:00,2023-09-12 07:04:00,08:04:00,00:00:00,00:00:00,1,08:04:00,07:25:51,100.0,93.9,06:06:25,05:22:22,02:31:15,01:45:46,43.1,45.3,62.7,60.4,41.0,43.4,43,110,27,56,,,,,,,,
2023-09-13T22:59:59-04:00,"Tuesday, Sep 12, 2023","Wednesday, Sep 13, 2023",2023-09-12 23:45:00,2023-09-13 07:04:00,07:19:00,00:24:00,00:00:00,1,06:55:00,07:23:34,94.5,94.1,05:16:13,05:22:28,02:02:58,01:46:21,44.4,45.4,64.9,61.1,43.0,43.4,27,102,17,53,,,,,,,,
2023-09-14T22:59:59-04:00,"Wednesday, Sep 13, 2023","Thursday, Sep 14, 2023",2023-09-13 23:00:00,2023-09-14 08:20:00,09:20:00,00:21:00,00:00:00,1,08:59:00,07:40:00,96.2,94.4,06:43:29,05:35:12,02:38:32,01:55:01,44.4,45.3,,,46.0,43.6,107,95,34,49,,,,,,,,
2023-09-16T22:59:59-04:00,"Friday, Sep 15, 2023","Saturday, Sep 16, 2023",2023-09-16 01:25:00,2023-09-16 11:58:00,10:33:00,00:22:00,00:00:00,1,10:11:00,08:09:17,96.5,95.5,07:52:39,06:01:52,03:03:18,02:03:22,47.0,45.5,58.5,60.6,47.0,44.1,99,93,57,47,,,,,,,,
2023-09-17T22:59:59-04:00,"Saturday, Sep 16, 2023","Sunday, Sep 17, 2023",2023-09-17 00:00:00,2023-09-17 10:29:00,10:29:00,00:37:00,00:00:00,1,09:52:00,08:25:25,94.1,95.7,07:15:04,06:14:18,02:31:48,02:14:01,43.3,45.3,62.0,61.7,50.0,45.0,81,61,66,35,,,,,,,,
2023-09-18T22:59:59-04:00,"Sunday, Sep 17, 2023","Monday, Sep 18, 2023",2023-09-18 00:30:00,2023-09-18 07:18:00,06:48:00,00:31:00,00:00:00,1,06:17:00,08:04:51,92.4,95.6,03:56:35,05:57:36,00:15:05,02:03:02,41.7,44.3,61.9,61.6,40.0,44.1,45,60,27,34,,,,,,,,
2023-09-19T22:59:59-04:00,"Monday, Sep 18, 2023","Tuesday, Sep 19, 2023",2023-09-18 23:30:00,2023-09-19 07:13:00,07:43:00,00:14:00,00:00:00,1,07:29:00,08:15:17,97.0,95.8,05:05:13,06:02:14,01:59:44,02:08:57,44.0,44.0,61.3,61.6,42.0,44.1,58,66,39,38,,,,,,,,
2023-09-20T22:59:59-04:00,"Tuesday, Sep 19, 2023","Wednesday, Sep 20, 2023",2023-09-19 23:40:00,2023-09-20 07:13:00,07:33:00,00:14:00,00:00:00,1,07:19:00,08:08:51,96.9,95.4,05:18:11,05:55:21,02:31:23,02:08:58,43.8,44.1,63.9,61.8,43.0,44.4,76,70,56,42,,,,,,,,
2023-09-21T22:59:59-04:00,"Wednesday, Sep 20, 2023","Thursday, Sep 21, 2023",2023-09-20 23:24:00,2023-09-21 08:37:00,09:13:00,01:22:00,00:00:00,1,07:51:00,08:16:51,85.2,94.1,05:24:02,05:56:28,02:41:54,02:14:32,44.0,44.1,60.7,61.2,49.0,45.3,121,84,14,42,,,,,,,,
2023-09-22T22:59:59-04:00,"Thursday, Sep 21, 2023","Friday, Sep 22, 2023",2023-09-22 00:00:00,2023-09-22 06:00:00,06:00:00,00:06:00,00:00:00,1,05:54:00,07:50:25,98.3,94.3,04:16:07,05:35:25,01:16:57,02:02:52,44.8,44.1,62.4,61.5,43.0,44.9,78,80,44,43,,,,,,,,
2023-09-23T22:59:59-04:00,"Friday, Sep 22, 2023","Saturday, Sep 23, 2023",2023-09-22 23:00:00,2023-09-23 08:22:00,09:22:00,00:22:00,00:00:00,1,09:00:00,07:40:17,96.1,94.3,06:39:38,05:24:59,02:07:04,01:54:50,44.3,43.7,66.8,62.7,45.0,44.6,27,69,20,38,,,,,,,,
2023-09-24T22:59:59-04:00,"Saturday, Sep 23, 2023","Sunday, Sep 24, 2023",2023-09-24 00:28:00,2023-09-24 09:10:00,09:13:00,00:30:00,00:00:00,2,08:43:00,07:30:25,94.3,94.3,06:08:24,05:15:27,01:47:38,01:48:32,47.0,44.2,64.7,63.1,47.0,44.1,208,87,110,44,,,,,,,,
2023-09-25T22:59:59-04:00,"Sunday, Sep 24, 2023","Monday, Sep 25, 2023",2023-09-24 23:25:00,2023-09-25 06:20:00,06:55:00,00:16:00,00:00:00,1,06:39:00,07:33:34,96.1,94.8,04:45:04,05:22:23,01:47:25,02:01:43,45.9,44.8,62.5,63.2,43.0,44.6,140,101,58,49,,,,,,,,
2023-09-26T22:59:59-04:00,"Monday, Sep 25, 2023","Tuesday, Sep 26, 2023",2023-09-25 23:31:00,2023-09-26 06:59:00,07:28:00,00:48:00,00:00:00,1,06:40:00,07:26:34,89.3,93.7,05:06:48,05:22:36,01:47:42,02:00:00,46.8,45.2,61.2,63.2,46.3,45.2,82,105,45,50,,,,,,,,
2023-09-27T22:59:59-04:00,"Tuesday, Sep 26, 2023","Wednesday, Sep 27, 2023",2023-09-26 23:45:00,2023-09-27 06:50:00,07:05:00,00:26:00,00:00:00,1,06:39:00,07:20:51,93.9,93.3,05:21:53,05:23:08,02:48:48,02:02:29,46.8,45.7,63.0,63.0,48.0,45.9,32,98,14,44,,,,,,,,
2023-09-28T22:59:59-04:00,"Wednesday, Sep 27, 2023","Thursday, Sep 28, 2023",2023-09-27 23:15:00,2023-09-28 08:38:00,10:00:00,00:23:00,00:00:00,2,09:37:00,07:36:00,95.9,94.8,07:19:32,05:39:38,03:05:09,02:05:49,44.8,45.8,57.3,62.6,43.0,45.0,25,85,17,44,,,,,,,,
